Entrée;Plat principal;Garniture;Produit laitier ou divers;Dessert
Carottes râpées et dés de Cantal;Colin sauce Retour des Indes;Purée de légumes et pommes de terre;;Mousse au chocolat
Velouté de légumes et fromage frais;Colin sauce Retour des Indes;Petits pois/Coquillettes;;Pomme
Carottes râpées et dés de Cantal;Colin sauce Retour des Indes;Purée de légumes et pommes de terre;;Mousse au chocolat
;Colombo de dinde;Gratin de chou-fleur;Saint Paulin;Orange
;Colombo de dinde;Chou fleur et coquillettes;Fromage à tartiner;Banane
;Colombo de dinde;Gratin de chou-fleur;Saint Paulin;Orange
Betterave sauce vinaigrette et tartine de fromage frais;Colombo de dinde Label Rouge;Riz Bio/CE;;Crêpe
Velouté de légumes et fromage frais;Colombo de porc;Semoule;;Pomme
Soupe de carottes épicée;Colombo de porc;Riz créole;Yaourt aux fruits mixés;Fruit
Concombre vinaigrette;Colombo de porc Label Rouge;Gratin de chou-fleur Bio;;Semoule au lait
Velouté de potiron et fromage frais;Coquillette à la mexicaine;;;Compotée pomme betterave
;Coquillettes à la carbonara;;Yaourt aromatisé;Poire
;Coquillettes à la courge butternut et ricotta;;Pointe de brie;Mangue
Betteraves vinaigrette et tartine de fromage frais;Coquillettes à la mexicaine;;;Crêpe
;Coquillettes à la mexicaine;;Camembert;Banane
Salade et dés d'emmental;Coquillettes à la mexicaine;;;Cake chocolat noix de coco
Radis rondelles sauce fromage frais;Coquillettes à la mexicaine;;Tomme noire;Emprésure chocolat
Carottes râpées;Coquillettes, pesto de brocolis et haricots blancs;;Port-Salut;Crêpe cassonade
Salade et mozzarella;Cordon bleu;Petits pois;Fromage frais aux fruits;Pomme
Semoule épicée et poivrons;Cordon bleu;Petits pois;Liégeois au chocolat;Raisin
Salade de perles au surimi;Cordon bleu;Haricots plats;Coulommiers;Cake citron-pavot
Salade de pommes de terre au pesto;Cordon bleu;Haricots verts;Yaourt Malo à la vanille;Pomme
Melon;Cordon bleu;Ratatouille et blé;Yaourt aux fruits mixés;
Salade de lentilles aux lardons;Cordon bleu;Haricots vert;;Brownies au chocolat et crème anglaise
Salade de perles aux lardons-allumettes;Cordon bleu;Haricots verts;Smoothie abricot-banane;Petit Beurre
Melon;Cordon bleu;Ratatouille et blé;Yaourt aux fruits mixés;
Salade Bio et dés de Mimolette;Cordon bleu;Torti Bio;;Purée pomme fraise
Tomates vinaigrette;Cordon bleu;Purée de brocolis;Coulommiers;Kiwi
Betteraves vinaigrette;Cordon bleu de volaille;Haricots verts;Vache Picon;Beignet aux pommes
Carottes râpées vinaigrette;Cordon bleu de volaille;Haricots verts;Riz au lait;Cookie
Taboulé;Cordon bleu de volaille;Courgettes et pommes de terre;Coulommiers;Eclair au chocolat
Taboulé;Cordon bleu de volaille;Carottes en bâtonnet;Bûche mi-chèvre;Flan nappé caramel
Tartine surimi-paprika;Cordon bleu de volaille;Carottes - Pommes de terre;Saint Paulin;Compote allégée
Tartine au surimi;Cordon bleu de volaille;Ratatouille;Coulommiers;"Fruit de saison ""Pomme"""
Betteraves vinaigrette;Cordon bleu de volaille;Coquillettes;Coulommiers;Lacté vanille
Salade de coquillettes au thon;Cordon bleu de volaille;Julienne de légumes;Petit Filou;Pomme
Potages de légumes;Cordon bleu de volaille;Gratin de chou-fleur et pommes de terre;Vache Picon;Banane
Carottes râpées vinaigrette;Cordon bleu de volaille;Jardinière de légumes;Mélusin;Glace vanille-chocolat
Bouillon alphabet;Cordon bleu de volaille;Purée de potiron;Petit Filou;Clémentine
Melon;Cordon bleu de volaille;Petits pois;Yaourt aux fruits mixés;Pêche
Bouillon alphabet;Cordon bleu de volaille;Haricots verts;Fromage blanc;Coulis de fruits rouges
Coleslaw sauce cocktail;Cordon bleu de volaille;Chou-fleur gratiné;Riz au lait entier;
;Cordon bleu de volaille;Purée de potiron;Tomme noire;Ananas
Carottes râpées à l'orange;Cordon bleu de volaille;Gratin de brocolis;Entremets au chocolat;Petit Beurre
Salade de coquillettes au thon;Cordon bleu de volaille;Carottes;Emmental;Pêche
Velouté potiron, carotte, orange;Cordon bleu de volaille;Julienne de légumes;Rondelé;Tarte au chocolat
Tomates vinaigrette;Cordon bleu de volaille;Petits pois;Mélusin;Eclair au chocolat
Tomates vinaigrette;Cordon bleu de volaille;Purée de potiron;Coulommiers;Nectarine
Coleslaw et mimolette;Cordon bleu de volaille;Tortis Bio;;Purée de pommes
Salade de coquillettes au thon;Cordon bleu de volaille;Carottes;Saint Nectaire;Smoothie poire pomme ananas
Salade de coquillettes au thon;Cordon bleu de volaille;Carottes;Brie;Clémentine
;Cordon bleu de volaille;Purée de carottes;Coulommiers;Banane
Taboulé;Cordon bleu de volaille;Courgettes et pommes de terre;Coulommiers;Eclair au chocolat
;Cordon bleu de volaille;Macaronis semi-complètes Bio et carottes locales;Coulommiers;Clémentine
Velouté de courgettes au fromage;Cordon bleu de volaille;Petits pois;Petit Suisse;"Fruit de saison ""Banane"""
Salade coleslaw;Cordon bleu de volaille;Coquillettes;Petit Filou;Raisin
Rillettes de sardines tomatées;Cordon bleu de volaille;Carottes;Brie;Compote allégée pomme-coing
Betteraves;Cordon bleu de volaille;Ratatouille et riz;Camembert;Liégeois au chocolat
Salade de coquillettes au thon;Cordon bleu de volaille;Haricots verts;Petits Malins aux fruits;Clémentine
Rillettes de sardines tomatées;Cordon bleu de volaille;Carottes;Brie;Compote allégée pomme-coing
Salade de coquillettes au thon;Cordon bleu de volaille;Carottes;Emmental;Pêche
Chou blanc à l'indienne;Cordon bleu de volaille;Purée de carottes;Yaourt aux fruits mixés;
Tartine thon-ciboulette;Cordon bleu de volaille;Carottes;Yaourts aux fruits mixés;Poire
Carottes râpées vinaigrette;Cordon bleu de volaille;Gratin de brocolis et pommes de terre;Petit Malin aux fruits;Banane
;Cordon bleu de volaille;Carottes et lentilles;Fromage à tartiner;Abricots
Concombre et dés d'emmental;Cordon bleu de volaille;Purée de pommes de terre;;Purée de pommes
;Cordon bleu de volaille;Chou-fleur et pommes de terre;Yaourt à la vanille;Pêche
;Cordon bleu de volaille;Chou-fleur et pommes de terre;Petit roulé;Banane
Concombre et dés de cantal;Cordon bleu de volaille;Purée de pommes de terre;;Purée de pommes
Carottes râpées épautre vinaigrette miel soja;Cordon de volaille;Petits pois;;Riz au lait
;Côte de porc sauce charcutière;Chou-fleur gratiné au fromage à raclette et blé;Fromage frais aux fruits;Ananas
Œuf dur mayonnaise;Courgettes bolognaise;;Fromage du Poitou;Glace vanille
Salade Iceberg vinaigrette crémeuse;Couscous;Semoule;Fol Epi;Compote allégée pomme-framboise
Salade Iceberg;Couscous;Semoule;Carré;Liégeois vanille-caramel
Salade Iceberg;Couscous;Semoule;Vache qui Rit;Pomme
Salade Iceberg et croûtons;Couscous;Semoule;Fol Epi;Liégeois au chocolat
Salade Iceberg et croûtons;Couscous;Semoule;Rondelé ail et fines herbes;Compote allégée pommes-bananes
Salade Iceberg;Couscous;;Emmental;Yaourt aromatisé
Salade Iceberg;Couscous;Semoule;Coulommiers;Clémentine
Salade Iceberg et emmental;Couscous;;;Compote allégée pomme-framboise
Salade Iceberg;Couscous;Semoule;Coulommiers;Clémentine
Salade Iceberg;Couscous;Semoule;P'tits Malin aux fruits;Pomme
Jus de pommes;Couscous;Semoule;Yaourt nature sucré Vrai;Poire
Salade Iceberg et emmental;Couscous;Semoule;;Liégeois au chocolat
Salade Iceberg;Couscous;Semoule;Fromage blanc;Coulis de fruits exotiques
Carottes râpées vinaigrette;Couscous;Semoule;Fromage blanc sucré;
Salade iceberg et croûtons;Couscous;;Petit Filou;Pomme
;Couscous;;Emmental;Pomme
Salade iceberg;Couscous;;Coulommiers;Compote allégée de pommes
Salade Iceberg et emmental;Couscous;Semoule;;Crêpe à la confiture de fraises
Jus de pommes;Couscous;Semoule;Yaourt Malo à la vanille;Kiwi
Carottes râpées vinaigrette;Couscous (boulettes de bœuf charolais);Semoule / légumes couscous;Pointe de brie;Purée de pommes
Velouté de brocolis et mascarpone;Couscous (boulettes de bœuf);Semoule et légumes couscous;Carré;Pomme
Carottes râpées Bio/ Locale topping de noix;Couscous (boulettes de bœuf);Semoule et légumes couscous;Yaourt Vrai vanille;
Salade Iceberg et croûtons;Couscous (boulettes de bœuf-chipolatas);Semoule;Fromage fondu à l'emmental;Compote allégée pomme-vanille
Tomates au basilic;Couscous (boulettes de mouton-merguez);Semoule;Tomme noire;Entremets vanille
Cœur de palmier et maïs;Couscous (merguez, boulettes de bœuf);Semoule;Fromage blanc;Banane
Œuf dur et mayonnaise;Couscous boulette de bœuf;Semoule;Brie;Prune
Salade Iceberg;Couscous boulettes;Semoule;Mélusin;Glace vanille-fraise
Potage de légumes variés et fromage frais;Couscous végétarien;Semoule;;Banane
Tomates et dés d'emmental;Couscous végétarien;;;Cake aux pépites de chocolat
Salade vinaigrette et dés de mimolette;Couscous végétarien;Semoule;;Cake poire chocolat
Potage de légumes au fromage frais;Couscous végétarien;;;Pomme
Carottes râpées;Couscous végétarien;Semoule;Emmental;Gâteau à la fleur d'oranger
Céleri sauce cocktail;Couscous végétarien;Semoule;Pont l'Evêque;Cake au citron
Mâche et dés de cantal AOP, vinaigrette;Couscous végétarien;;Yaourt bio vanille Malo;
Salade iceberg vinaigrette;Couscous végétarien;;Mimolette;Tarte au chocolat
Mâche et betteraves;Couscous végétarien aux légumes;Semoule;Saint Nectaire;Galette des Rois
Salade Iceberg;Croque Monsieur;;Yaourt Malo Bio à la vanille;Poire
Salade Iceberg, vinaigrette aux deux moutardes;Croque-Monsieur;;P'tits Malins aux fruits;Clémentine
Salade verte;Croque-Monsieur;;Yaourt à la vanille;Pomme
Pastèque;Croustillants de poisson;Poêlée campagnarde;Coulommiers;Flan nappé caramel
Salade Iceberg;Croziflette;;Yaourt aromatisé;Kiwi
Salade Iceberg;Croziflette;;Fromage blanc;Coulis de fruits jaune
Velouté potiron et châtaigne;Croziflette aux 2 fromages;;;Poire
Velouté de potiron au fromage frais;Croziflette aux 2 fromages Tartiflette, Bleu d'Auvergne AOP;;;Pomme Bio
Coleslaw rouge;Croziflette aux lardons;;;Yaourt nature sucré Le P'tit Gallo
Salade coleslaw;Crozi-Tartiflette;;Yaourt aux fruits mixés;"Fruit de saison ""Pomme"""
Pastèque;Cuisse de poulet aux herbes de Provence;Coquillettes;Yaourt nature sucré;
Tomates vinaigrette et dés de Cantal;Curry d'épinards et pois chiches;Riz;;Gâteau au yaourt
Carottes râpées et Cantal AOP;Dahi de lentilles corail;;;Cake au Daim
Carottes râpées vinaigrette et dés de mimolette;Dahi de lentilles corail;;;Cake chocolat épices
;Dahi de lentilles corail;Riz;Fromage à tartiner;Orange Global Gap
Potage de légumes verts, fromage râpé;Dahi de lentilles corail, riz et légumes;;;Poire
Velouté de potiron et fromage frais;Dahl de lentilles corail;Riz;;Banane
Concombre et Mozarella;Dahl de lentilles corail;;;Clafoutis abricot griottes
Carottes râpées vinaigrette;Dinde façon tajine citron;Semoule;Yaourt Malo à la vanille;Clémentine
Tomate et fromage frais façon bruschetta;Dinde sauce arrabiata;Purée de courgettes et pommes de terre à l'huile d'olive;;Fromage blanc façon stracciatella
Concombre sauce bulgare;Dos de cabillaud à l'orientale;Semoule;Fol Epi;Crème Malo au chocolat
Tomates au basilic;Dos de cabillaud à l'orientale;Purée de pommes de terre;Rondelé ail et fines herbes;Pêche
Tomates au basilic;Dos de cabillaud à l'orientale;Purée de pommes de terre;Rondelé ail et fines herbes;Pêche
Melon;Dos de cabillaud à l'orientale;Semoule;Saint-Paulin;Beignet au chocolat
Tomates vinaigrette au basilic;Dos de cabillaud à l'orientale;Semoule;Rondelé ail et fines herbes;Pêche
Salade iceberg, vinaigrette au miel;Dos de cabillaud aux légumes d'été;Semoule;Gouda;Licuado de platano (Smoothie banane)
Saucisson à l'ail;Dos de cabillaud sauce crème;Tortis;Cheddar râpé;Raisin
Salade de tomates vinaigrette basilic;Dos de cabillaud sauce persane;Brunoise/ Boulgour;Riz au lait;
Potage au potiron;Dos de cabillaud sauce provençale;Boulgour;Yaourt nature sucré;
Pastèque;Dos de cabillaud sauce Retour des Indes;Tortis;Camembert;Tarte à la rhubarbe
Carottes râpées et Cantal AOP;Dos de Colin d'Alaska basquaise;Semoule;;Crème dessert vanille
;Dos de colin d'Alaska façon bouillabaisse;Carottes et riz;Yaourt nature sucré;Pêche
;Dos de colin d'Alaska sauce agrumes;Riz;Fromage à tartiner;Pomme
Tomates mozzarella vinaigrette à la ciboulette;Dos de Colin d'Alaska sauce beurre blanc;Haricots verts;;Cake aux pépites de chocolat
;Dos de Colin d'Alaska sauce ciboulette;Pomme paillasson;Coulommiers;Pomme
Carottes râpées vinaigrette passion;Dos de colin d'Alaska sauce citron;Penne semi-complètes;;Fromage frais aux fruits
Melon;Dos de colin d'Alaska sauce courgettes;Penne semi-complet Bio;;Flan nappé caramel
Concombre façon tzatziki;Dos de colin d'Alaska sauce créole;Pomme paillasson aux petits légumes;Yaourt nature sucré;
Carottes râpées vinaigrette à l'orange;Dos de Colin d'Alaska sauce Cubaine;Purée de courgettes à l'huile d'olive;Fromage blanc sucré;
;Dos de Colin d'Alaska sauce cubaine;Penne semi-complète;Emmental;Orange Global Gap
Betteraves vinaigrette;Dos de colin d'Alaska sauce Retour des Indes;Semoule;;Yaourt nature sucré
Potage de légumes verts au fromage frais;Dos de colin d'Alaska sauce Retour des Indes;Panais et coquillettes;;Clémentine
Salade et dés d'emmental;Dos de colin d'Alaska sauce tomate;Semoule;;Crème dessert chocolat
Carottes râpées et dés d'emmental;Dos de colin d'Alaska sauce vierge;Riz;;Crème dessert choco-noisette
Salade et dés d'emmental;Dos de colin d'Alaska sauce vierge;Petits pois;;Cake au Daims
;Dos de colin d'Alaska sauce vierge;Tortis Bio;Fromage blanc sucré;Pomme Bio
Velouté de butternut;Dos de colin sauce citron;Gratin d'épinards et pommes de terre;;Clémentine
Velouté aux brocolis, poireaux;Dos de colin sauce coco citron vert;Fusilis;;Yaourt à la vanille
;Dos de colin sauce coco citron vert;Riz;Brie;Nectarine
Velouté de légumes verts au fromage frais;Dos de colin sauce coco-citron vert;Haricots verts et pommes de terre;;Pomme
Carottes râpées sauce vinaigrette à l'orange;Dos de colin sauce coco-citron vert;Macaronis semi-complètes;;Yaourt nature sucré
;Dos de colin sauce courgette;Riz;Camembert;Pomme
;Dos de colin sauce courgettes;Riz;Camembert;Orange
;Dos de colin sauce courgettes;Brunoise de légumes et riz;Edam;Nectarine
Betteraves vinaigrette;Dos de colin sauce crème;Pommes noisettes;Brie;Pomme
Melon;Dos de colin sauce crème;Semoule;Vache Picon;Compote allégée pomme-vanille
Carottes râpées à l'orange;Dos de colin sauce crème;Semoule;Tomme blanche;Banane
Velouté de légumes verts;Dos de colin sauce crème;Pommes paillasson;Brie;Flan nappé caramel
Melon;Dos de colin sauce crème;Semoule;Vache Picon;Compote allégée pomme-vanille
Melon;Dos de colin sauce cubaine;Gratin de courgettes et riz;;Yaourt nature sucré
Carottes râpées et dés d'emmental;Dos de colin sauce curry;Riz;;Crème dessert vanille
Carottes râpées vinaigrette à l'orange;Dos de colin sauce persane;Semoule;Brie;Pomme
Carottes râpées à l'orange;Dos de colin sauce persane;Semoule;Brie;Pomme
Quiche thon-tomates-moutarde;Dos de colin sauce persane;Purée de potiron;Cantal;Ananas
Pastèque;Dos de colin sauce persane;Carottes - Pommes de terre;Coulommiers;Cake au chocolat
Concombre au Boursin;Dos de colin sauce Retour des Indes;Tortis;P'tit Malin aux fruits;Pomme
;Dos de colin sauce vierge;Purée de pommes de terre;Pointe de Brie;Banane
;Dos d'églefin sauce provençale;Ratatouille / riz;Yaourt nature sucré;Nectarine
Soupe de lentilles corail;Emincé  de bœuf Charolais sauce ketchup;Chou-fleur au fromage fondu fromage fondu;Pointe de brie;Pomme
Rillettes de poisson et sardine;Emince de bœuf Charolais sauce barbecue;Pommes wedges;Coulommiers;Pomme
Céleri sauce cocktail;Emincé de bœuf Charolais sauce poivre;Carottes et tortis;Yaourt nature sucré Bio Le P'tit Gallo;
Betteraves vinaigrette;Emincé de bœuf sauce aigre douce;Riz;Camembert;Raisin
Houmous de lentilles corail;Emincé de bœuf sauce barbecue;Haricots verts;Camembert;Poire
Salade verte vinaigrette façon chimichurri;Emincé de bœuf sauce barbecue;Purée de butternut;Fromage blanc;Confiture de lait
Taboulé;Emincé de bœuf sauce esterel;Chutney de courgettes;Port Salut;Banane
Salade verte vinaigrette et tomme de brebis;Emincé de bœuf sauce poivre;Gratin de panais;;Tarte au chocolat
Velouté de lentilles corail;Emincé de bœuf sauce poivre;Gratin de chou-fleur béchamel;Yaourt Malo vanille;Clémentine
Bouillon alphabet;Emincé de bœuf sauce poivre;Haricots verts;Camembert;Banane
Rillettes de thon et gressins;Emincé de bœuf sauce poivre;Pommes smille;Brie;Abricot
Salade d'endives, pomme granny et mimolette;Emincé de bœuf sauce poivre;Carottes / Flageolets;Yaourt Yeo framboise-abricot et biscuit;
Mâche et betterave;Emincé de bœuf sauce poivre;Penne semi-complète;Pointe de brie;Compote pomme-banane
Saucisson à l'ail et cornichons;Emincé de bœuf sauce poivre;Gratin Dauphinois;Pavé d'Affinois;Poire
Tomates vinaigrette crémeuse et ciboulette;Emincé de bœuf sauce tajine;Semoule;Carré;Purée pomme banane
Céleri sauce cocktail;Emincé de dinde;Penne semi-complète;Yaourt Malo vanille;
Potage de carottes;Emincé de dinde  sauce dijonnaise;Petits pois;Chaussée aux moines;Clémentine
;Emincé de dinde à la dijonnaise;Carottes et lentilles;Saint-Paulin;Ananas
;Emincé de dinde au curry;Brunoise de légumes et blé;Pointe de brie;Kiwi
Salade de coquillettes au thon;Emincé de dinde au jus;Brocolis au fromage fondu;Saint -Nectaire;Banane
Salade de coquillettes au thon;Emincé de dinde au jus;Poêlée de légumes;Saint -Nectaire;Banane
;Emincé de dinde au romarin;Courgette et  riz;Yaourt à la vanille;Orange
Betterave vinaigrette;Emincé de dinde sauce au Maroilles;Pommes smiles;Fromage blanc;Spéculos
;Emincé de dinde sauce barbecue;Chou fleur et pommes de terre en gratin;Yaourt aux fruits mixés;Banane
Carottes râpées sauce vinaigrette à l'orange;Emincé de dinde sauce Barbecue;Blé;Yaourt aux fruits mixés;
Betteraves et mâche vinaigrette;Emincé de dinde sauce barbecue;Pomme paillasson;Lacté vanille;
Carottes râpées vinaigrette à la vanille;Emincé de dinde sauce barbecue;Brocolis au fromage fondu;;Polenta crèmeuse
Salade de coquillettes Bio aux maquereaux;Emincé de dinde sauce barbecue;Carottes;Emmental;Pomme
Œuf dur mayonnaise;Emincé de dinde sauce colombo;Riz;Pointe de brie;Pomelo et sucre
